27-Jul-19 02:25:27 - WalkerAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (24,), 'discount_factor': 0.99, 'evaluation_samples': 100, 'snapshot_interval': 250, 'soft_target_update_rate': 0.001, 'start_training': 1, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'output_directory': 'model/WalkerAgent/2019-07-27-02-25-26', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (24,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 64, 'memory_size': 1000000, 'method': 'buffer', 'action_dim': (4,)}, 'strategy_params': {'epsilon_decay': 0.0007, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 100, 'mu': [0, 0, 0, 0], 'min_epsilon': 0.05, 'theta': [0.15, 0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2, 0.2], 'method': 'ornstein_uhlenbeck', 'action_dim': (4,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 10000, 'agent_name': 'WalkerAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 2500, 'action_dim': (4,)}
27-Jul-19 02:25:27 - WalkerAgent - INFO - --- Start DDPG training ---
27-Jul-19 02:25:27 - WalkerAgent - INFO - Episode: 0, Total Reward: -118.392, Avg. Reward Last 100 Episodes: -118.392, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.053, Training Steps: 0, Eps: 1.000
27-Jul-19 02:25:29 - WalkerAgent - INFO - Episode: 1, Total Reward: -125.996, Avg. Reward Last 100 Episodes: -118.392, Avg. Actor Loss: 0.006 Avg. Critic Loss: 24.293 Avg. Q-Values: -0.787, Time: 1.706, Training Steps: 190, Eps: 1.000
27-Jul-19 02:25:30 - WalkerAgent - INFO - Episode: 2, Total Reward: -108.267, Avg. Reward Last 100 Episodes: -122.194, Avg. Actor Loss: 0.004 Avg. Critic Loss: 23.084 Avg. Q-Values: -0.793, Time: 0.425, Training Steps: 42, Eps: 1.000
27-Jul-19 02:25:30 - WalkerAgent - INFO - Episode: 3, Total Reward: -116.662, Avg. Reward Last 100 Episodes: -117.552, Avg. Actor Loss: 0.006 Avg. Critic Loss: 31.486 Avg. Q-Values: -0.859, Time: 0.597, Training Steps: 64, Eps: 1.000
27-Jul-19 02:25:31 - WalkerAgent - INFO - Episode: 4, Total Reward: -128.338, Avg. Reward Last 100 Episodes: -117.329, Avg. Actor Loss: 0.003 Avg. Critic Loss: 32.826 Avg. Q-Values: -1.113, Time: 1.018, Training Steps: 111, Eps: 1.000
27-Jul-19 02:25:34 - WalkerAgent - INFO - Episode: 5, Total Reward: -132.226, Avg. Reward Last 100 Episodes: -119.531, Avg. Actor Loss: -0.003 Avg. Critic Loss: 11.083 Avg. Q-Values: -1.120, Time: 2.899, Training Steps: 320, Eps: 1.000
27-Jul-19 02:25:35 - WalkerAgent - INFO - Episode: 6, Total Reward: -107.254, Avg. Reward Last 100 Episodes: -121.647, Avg. Actor Loss: 0.001 Avg. Critic Loss: 9.827 Avg. Q-Values: -1.090, Time: 0.562, Training Steps: 62, Eps: 1.000
27-Jul-19 02:25:35 - WalkerAgent - INFO - Episode: 7, Total Reward: -99.211, Avg. Reward Last 100 Episodes: -119.591, Avg. Actor Loss: 0.000 Avg. Critic Loss: 5.906 Avg. Q-Values: -0.772, Time: 0.571, Training Steps: 63, Eps: 1.000
27-Jul-19 02:25:36 - WalkerAgent - INFO - Episode: 8, Total Reward: -110.242, Avg. Reward Last 100 Episodes: -117.043, Avg. Actor Loss: 0.001 Avg. Critic Loss: 15.014 Avg. Q-Values: -1.379, Time: 0.493, Training Steps: 50, Eps: 1.000
27-Jul-19 02:25:36 - WalkerAgent - INFO - Episode: 9, Total Reward: -101.031, Avg. Reward Last 100 Episodes: -116.288, Avg. Actor Loss: -0.000 Avg. Critic Loss: 15.489 Avg. Q-Values: -1.085, Time: 0.786, Training Steps: 88, Eps: 1.000
27-Jul-19 02:25:37 - WalkerAgent - INFO - Episode: 10, Total Reward: -99.861, Avg. Reward Last 100 Episodes: -114.762, Avg. Actor Loss: 0.001 Avg. Critic Loss: 15.640 Avg. Q-Values: -1.237, Time: 0.553, Training Steps: 60, Eps: 1.000
