26-Jul-19 15:59:58 - WalkerAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (24,), 'discount_factor': 0.99, 'evaluation_samples': 100, 'snapshot_interval': 250, 'soft_target_update_rate': 0.005, 'start_training': 1, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/WalkerAgent/2019-07-26-15-59-56', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (24,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 1000000, 'method': 'buffer', 'action_dim': (4,)}, 'strategy_params': {'epsilon_decay': 0.0025, 'action_dim': (4,), 'noise_variance': 0.1, 'epsilon_decay_method': 'linear', 'min_epsilon': 0.05, 'epsilon': 1, 'action_high': 1, 'action_low': -1, 'method': 'gaussian', 'epsilon_decay_start': 1000}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 10000, 'agent_name': 'WalkerAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 2500, 'action_dim': (4,)}
26-Jul-19 15:59:58 - WalkerAgent - INFO - --- Start TwinDelayedDDPG training ---
26-Jul-19 15:59:58 - WalkerAgent - INFO - Episode: 0, Total Reward: -95.628, Avg. Reward Last 100 Episodes: -95.628, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.068, Training Steps: 0, Eps: 1.000
26-Jul-19 15:59:59 - WalkerAgent - INFO - Episode: 1, Total Reward: -110.339, Avg. Reward Last 100 Episodes: -95.628, Avg. Actor Loss: 0.046 Avg. Critic Loss: 0.298 Avg. Q-Values: -0.002, Time: 0.899, Training Steps: 123, Eps: 1.000
26-Jul-19 16:00:00 - WalkerAgent - INFO - Episode: 2, Total Reward: -107.364, Avg. Reward Last 100 Episodes: -102.984, Avg. Actor Loss: -0.130 Avg. Critic Loss: 0.257 Avg. Q-Values: 0.034, Time: 0.876, Training Steps: 119, Eps: 1.000
26-Jul-19 16:00:01 - WalkerAgent - INFO - Episode: 3, Total Reward: -130.792, Avg. Reward Last 100 Episodes: -104.444, Avg. Actor Loss: -0.811 Avg. Critic Loss: 0.168 Avg. Q-Values: -0.049, Time: 1.098, Training Steps: 152, Eps: 1.000
26-Jul-19 16:00:13 - WalkerAgent - INFO - Episode: 4, Total Reward: -153.835, Avg. Reward Last 100 Episodes: -111.031, Avg. Actor Loss: -0.557 Avg. Critic Loss: 0.120 Avg. Q-Values: -0.336, Time: 11.700, Training Steps: 1600, Eps: 1.000
26-Jul-19 16:00:14 - WalkerAgent - INFO - Episode: 5, Total Reward: -111.456, Avg. Reward Last 100 Episodes: -119.592, Avg. Actor Loss: -0.057 Avg. Critic Loss: 0.151 Avg. Q-Values: -1.204, Time: 0.819, Training Steps: 110, Eps: 1.000
26-Jul-19 16:00:14 - WalkerAgent - INFO - Episode: 6, Total Reward: -121.189, Avg. Reward Last 100 Episodes: -118.236, Avg. Actor Loss: 0.225 Avg. Critic Loss: 0.215 Avg. Q-Values: -1.832, Time: 0.317, Training Steps: 44, Eps: 1.000
26-Jul-19 16:00:14 - WalkerAgent - INFO - Episode: 7, Total Reward: -121.757, Avg. Reward Last 100 Episodes: -118.658, Avg. Actor Loss: 0.467 Avg. Critic Loss: 0.317 Avg. Q-Values: -2.655, Time: 0.311, Training Steps: 44, Eps: 1.000
26-Jul-19 16:00:15 - WalkerAgent - INFO - Episode: 8, Total Reward: -121.237, Avg. Reward Last 100 Episodes: -119.045, Avg. Actor Loss: 0.793 Avg. Critic Loss: 0.307 Avg. Q-Values: -2.965, Time: 0.327, Training Steps: 44, Eps: 1.000
26-Jul-19 16:00:15 - WalkerAgent - INFO - Episode: 9, Total Reward: -120.819, Avg. Reward Last 100 Episodes: -119.289, Avg. Actor Loss: 1.744 Avg. Critic Loss: 0.437 Avg. Q-Values: -3.713, Time: 0.304, Training Steps: 43, Eps: 1.000
26-Jul-19 16:00:15 - WalkerAgent - INFO - Episode: 10, Total Reward: -122.244, Avg. Reward Last 100 Episodes: -119.442, Avg. Actor Loss: 1.536 Avg. Critic Loss: 0.299 Avg. Q-Values: -3.474, Time: 0.320, Training Steps: 43, Eps: 1.000
