12-Sep-22 12:53:21 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (50,), 'action_dim': (3,), 'ctx': 'cpu(0)', 'discount_factor': 0.99, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.0004, 'epsilon_decay_start': 500, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 1000000, 'sample_size': 500, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (50,), 'action_dim': (3,)}, 'training_episodes': 3000, 'start_training': 500, 'evaluation_samples': 3, 'self_play': 'yes', 'train_interval': 1, 'snapshot_interval': 100, 'agent_name': 'AutopilotAgent', 'max_episode_step': 5000, 'output_directory': 'model/AutopilotAgent/2022-09-12-12-53-18', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.005, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
12-Sep-22 12:53:21 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
12-Sep-22 12:53:22 - AutopilotAgent - INFO - Episode: 0, Total Reward: -715.527, Avg. Reward Last 100 Episodes: -715.527, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 1.325, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:23 - AutopilotAgent - INFO - Episode: 1, Total Reward: -12483.611, Avg. Reward Last 100 Episodes: -715.527, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 1.048, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:24 - AutopilotAgent - INFO - Episode: 2, Total Reward: -5866.081, Avg. Reward Last 100 Episodes: -6599.569, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 1.082, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:25 - AutopilotAgent - INFO - Episode: 3, Total Reward: -5733.575, Avg. Reward Last 100 Episodes: -6355.073, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.809, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:26 - AutopilotAgent - INFO - Episode: 4, Total Reward: -4229.604, Avg. Reward Last 100 Episodes: -6199.698, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.806, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:26 - AutopilotAgent - INFO - Episode: 5, Total Reward: 18119.239, Avg. Reward Last 100 Episodes: -5805.679, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.745, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:27 - AutopilotAgent - INFO - Episode: 6, Total Reward: -256.122, Avg. Reward Last 100 Episodes: -1818.193, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.741, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:28 - AutopilotAgent - INFO - Episode: 7, Total Reward: -8982.218, Avg. Reward Last 100 Episodes: -1595.040, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.732, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:29 - AutopilotAgent - INFO - Episode: 8, Total Reward: -7068.910, Avg. Reward Last 100 Episodes: -2518.437, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.720, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:29 - AutopilotAgent - INFO - Episode: 9, Total Reward: 15273.613, Avg. Reward Last 100 Episodes: -3024.045, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.674, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:30 - AutopilotAgent - INFO - Episode: 10, Total Reward: -1901.074, Avg. Reward Last 100 Episodes: -1194.280, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.884, Training Steps: 0, Eps: 1.000
