12-Sep-22 12:42:03 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (50,), 'action_dim': (3,), 'ctx': 'cpu(0)', 'discount_factor': 0.99, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.0004, 'epsilon_decay_start': 500, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 1000000, 'sample_size': 500, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (50,), 'action_dim': (3,)}, 'training_episodes': 3000, 'start_training': 500, 'evaluation_samples': 3, 'self_play': 'yes', 'train_interval': 1, 'snapshot_interval': 100, 'agent_name': 'AutopilotAgent', 'max_episode_step': 5000, 'output_directory': 'model/AutopilotAgent/2022-09-12-12-42-00', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.005, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
12-Sep-22 12:42:03 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
12-Sep-22 12:42:04 - AutopilotAgent - INFO - Episode: 0, Total Reward: -14196.200, Avg. Reward Last 100 Episodes: -14196.200, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 1.008, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:04 - AutopilotAgent - INFO - Episode: 1, Total Reward: -60714.397, Avg. Reward Last 100 Episodes: -14196.200, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.788, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:05 - AutopilotAgent - INFO - Episode: 2, Total Reward: -2833.879, Avg. Reward Last 100 Episodes: -37455.299, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.791, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:06 - AutopilotAgent - INFO - Episode: 3, Total Reward: 9757.262, Avg. Reward Last 100 Episodes: -25914.826, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.761, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:07 - AutopilotAgent - INFO - Episode: 4, Total Reward: -9509.748, Avg. Reward Last 100 Episodes: -16996.804, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.930, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:08 - AutopilotAgent - INFO - Episode: 5, Total Reward: 8279.928, Avg. Reward Last 100 Episodes: -15499.393, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.734, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:08 - AutopilotAgent - INFO - Episode: 6, Total Reward: -16927.493, Avg. Reward Last 100 Episodes: -11536.172, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.738, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:09 - AutopilotAgent - INFO - Episode: 7, Total Reward: -201.303, Avg. Reward Last 100 Episodes: -12306.361, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.726, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:10 - AutopilotAgent - INFO - Episode: 8, Total Reward: -39881.419, Avg. Reward Last 100 Episodes: -10793.229, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.652, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:10 - AutopilotAgent - INFO - Episode: 9, Total Reward: 4150.274, Avg. Reward Last 100 Episodes: -14025.250, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.660, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:11 - AutopilotAgent - INFO - Episode: 10, Total Reward: -28202.919, Avg. Reward Last 100 Episodes: -12207.698, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.785, Training Steps: 0, Eps: 1.000
