09-Sep-22 16:10:12 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (25,), 'action_dim': (3,), 'ctx': 'gpu(0)', 'discount_factor': 0.99, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.00066666666, 'epsilon_decay_start': 500, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 10000000, 'sample_size': 10000, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (25,), 'action_dim': (3,)}, 'training_episodes': 2000, 'start_training': 500, 'evaluation_samples': 3, 'self_play': 'no', 'train_interval': 1, 'snapshot_interval': 50, 'agent_name': 'AutopilotAgent', 'max_episode_step': 1000, 'output_directory': 'model/AutopilotAgent/2022-09-09-16-10-06', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.0025, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
09-Sep-22 16:10:12 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
09-Sep-22 16:10:12 - AutopilotAgent - INFO - Episode: 0, Total Reward: 5452.396, Avg. Reward Last 100 Episodes: 5452.396, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.631, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:13 - AutopilotAgent - INFO - Episode: 1, Total Reward: 10490.803, Avg. Reward Last 100 Episodes: 5452.396, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.572, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:13 - AutopilotAgent - INFO - Episode: 2, Total Reward: 16418.217, Avg. Reward Last 100 Episodes: 7971.600, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.546, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:14 - AutopilotAgent - INFO - Episode: 3, Total Reward: 7755.358, Avg. Reward Last 100 Episodes: 10787.139, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.436, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:14 - AutopilotAgent - INFO - Episode: 4, Total Reward: 12067.157, Avg. Reward Last 100 Episodes: 10029.194, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.473, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:15 - AutopilotAgent - INFO - Episode: 5, Total Reward: 7429.344, Avg. Reward Last 100 Episodes: 10436.786, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.498, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:15 - AutopilotAgent - INFO - Episode: 6, Total Reward: 3971.235, Avg. Reward Last 100 Episodes: 9935.546, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.432, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:16 - AutopilotAgent - INFO - Episode: 7, Total Reward: 12.294, Avg. Reward Last 100 Episodes: 9083.501, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.502, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:16 - AutopilotAgent - INFO - Episode: 8, Total Reward: -7510.428, Avg. Reward Last 100 Episodes: 7949.600, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.404, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:17 - AutopilotAgent - INFO - Episode: 9, Total Reward: 2229.519, Avg. Reward Last 100 Episodes: 6231.819, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.481, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:17 - AutopilotAgent - INFO - Episode: 10, Total Reward: 772.168, Avg. Reward Last 100 Episodes: 5831.589, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.526, Training Steps: 0, Eps: 1.000
