Episode,CollisionType,VehicleName,CollisionObjectName,TimeStamp,Duration
1,static,"Car_0","(OSM id: 470347361)",26.81,0.08
1,static,"Car_0","(OSM id: 672367616)",27.41,0.22
2,static,"Car_1","(OSM id: 640718685)",24.31,0.05
2,static,"Car_0","(OSM id: 640718685)",24.61,0.07
2,static,"Car_1","(OSM id: 640718560)",26.61,0.05
2,static,"Car_0","(OSM id: 640718560)",26.91,0.05
2,static,"Car_1","(OSM id: 640718579)",27.91,0.04
2,static,"Car_0","(OSM id: 640718579)",28.11,0.05
2,static,"Car_1","(OSM id: 640718536)",29.31,0.04
3,vehicle,"Car_0","Car_1",6.01,0.14
3,vehicle,"Car_1","Car_0",6.01,0.14
3,vehicle,"Car_0","Car_2",6.61,0.13
3,vehicle,"Car_2","Car_0",6.61,0.13
4,static,"Car_1","Mi Cocina(OSM id: 452514253)",6.31,0.27
4,vehicle,"Car_2","Car_3",11.61,0.07
4,vehicle,"Car_3","Car_2",11.61,0.07
4,static,"Car_3","Mi Cocina(OSM id: 452514253)",12.71,0.29
4,static,"Car_4","Mi Cocina(OSM id: 452514253)",15.11,0.21
4,static,"Car_0","(OSM id: 452514262)",21.11,0.23
4,static,"Car_4","(OSM id: 452512823)",25.51,0.15
4,static,"Car_2","(OSM id: 452514262)",21.91,0.58
5,static,"Car_3","Northside Building 6(OSM id: 598197581)",4.51,0.33
5,static,"Car_1","Northside Building 6(OSM id: 598197581)",6.81,0.28
5,static,"Car_0","Northside Building 6(OSM id: 598197581)",7.31,0.25
5,static,"Car_2","Northside Building 5(OSM id: 598197587)",11.81,0.16
5,static,"Car_0","Northside Building 9(OSM id: 598197591)",12.31,0.13
5,static,"Car_0","Northside Building 9(OSM id: 598197591)",14.01,0.02
5,static,"Car_0","Northside Building 9(OSM id: 598197591)",17.61,0.06
5,static,"Car_0","(OSM id: 598197590)",18.01,0.07
5,static,"Car_1","Northside Building 2(OSM id: 598197578)",15.61,0.35
5,static,"Car_3","(OSM id: 510499742)",18.11,0.15
5,static,"Car_2","(OSM id: 510499742)",17.11,0.37
5,static,"Car_0","Northside Building 6(OSM id: 598197581)",20.31,0.11
5,static,"Car_3","Northside Building 5(OSM id: 598197587)",20.51,0.11
5,static,"Car_0","Northside Building 6(OSM id: 598197581)",23.21,0.08
5,static,"Car_3","Northside Building 6(OSM id: 598197581)",23.31,0.08
5,static,"Car_1","(OSM id: 510499742)",25.81,0.01
5,static,"Car_0","Northside Building 9(OSM id: 598197591)",25.51,0.1
6,vehicle,"Car_0","Car_1",4.51,0.06
6,vehicle,"Car_1","Car_0",4.51,0.06
6,vehicle,"Car_0","Car_2",5.51,0.04
6,vehicle,"Car_2","Car_0",5.51,0.04
6,vehicle,"Car_0","Car_3",8.41,0.06
6,vehicle,"Car_3","Car_0",8.41,0.06
6,static,"Car_2","(OSM id: 640718682)",16.81,0.08
6,static,"Car_1","(OSM id: 640718682)",17.01,0.1
6,static,"Car_2","(OSM id: 640718543)",18.41,0.04
6,static,"Car_1","(OSM id: 640718578)",19.31,0.08
6,static,"Car_2","(OSM id: 640718561)",20.41,0.04
6,static,"Car_2","(OSM id: 640718651)",20.91,0.06
6,static,"Car_1","(OSM id: 640718529)",21.91,0.01
6,static,"Car_2","(OSM id: 640718697)",21.61,0.05
6,static,"Car_1","(OSM id: 640718680)",23.21,0.01
6,vehicle,"Car_0","Car_3",23.81,0.01
6,vehicle,"Car_3","Car_0",23.81,0.01
6,static,"Car_0","(OSM id: 640718699)",26.31,0.03
6,static,"Car_0","(OSM id: 640718577)",26.71,0.03
6,static,"Car_1","(OSM id: 640718699)",26.71,0.04
