29-Jul-19 03:38:04 - LanderActor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (8,), 'discount_factor': 0.99, 'evaluation_samples': 100, 'snapshot_interval': 250, 'soft_target_update_rate': 0.005, 'start_training': 1, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/LanderActor/2019-07-29-03-38-02', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (8,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 1000000, 'method': 'buffer', 'action_dim': (2,)}, 'strategy_params': {'epsilon_decay': 0.0025, 'action_dim': (2,), 'noise_variance': 0.1, 'epsilon_decay_method': 'linear', 'min_epsilon': 0.05, 'epsilon': 1, 'action_high': 1, 'action_low': -1, 'method': 'gaussian', 'epsilon_decay_start': 1000}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 10000, 'agent_name': 'LanderActor', 'verbose': True, 'train_interval': 1, 'training_episodes': 2000, 'action_dim': (2,)}
29-Jul-19 03:38:04 - LanderActor - INFO - --- Start TwinDelayedDDPG training ---
29-Jul-19 03:38:04 - LanderActor - INFO - Episode: 0, Total Reward: -189.731, Avg. Reward Last 100 Episodes: -189.731, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.086, Training Steps: 0, Eps: 1.000
29-Jul-19 03:38:04 - LanderActor - INFO - Episode: 1, Total Reward: -180.139, Avg. Reward Last 100 Episodes: -189.731, Avg. Actor Loss: 0.765 Avg. Critic Loss: 0.306 Avg. Q-Values: -0.010, Time: 0.537, Training Steps: 73, Eps: 1.000
29-Jul-19 03:38:05 - LanderActor - INFO - Episode: 2, Total Reward: -239.509, Avg. Reward Last 100 Episodes: -184.935, Avg. Actor Loss: 1.448 Avg. Critic Loss: 0.558 Avg. Q-Values: -0.053, Time: 0.495, Training Steps: 68, Eps: 1.000
29-Jul-19 03:38:05 - LanderActor - INFO - Episode: 3, Total Reward: -81.088, Avg. Reward Last 100 Episodes: -203.126, Avg. Actor Loss: 1.100 Avg. Critic Loss: 0.436 Avg. Q-Values: -0.157, Time: 0.651, Training Steps: 92, Eps: 1.000
29-Jul-19 03:38:06 - LanderActor - INFO - Episode: 4, Total Reward: -349.078, Avg. Reward Last 100 Episodes: -172.617, Avg. Actor Loss: 1.034 Avg. Critic Loss: 0.314 Avg. Q-Values: -0.284, Time: 0.787, Training Steps: 103, Eps: 1.000
29-Jul-19 03:38:07 - LanderActor - INFO - Episode: 5, Total Reward: -519.156, Avg. Reward Last 100 Episodes: -207.909, Avg. Actor Loss: 2.334 Avg. Critic Loss: 0.279 Avg. Q-Values: -0.623, Time: 0.637, Training Steps: 85, Eps: 1.000
29-Jul-19 03:38:10 - LanderActor - INFO - Episode: 6, Total Reward: -22.713, Avg. Reward Last 100 Episodes: -259.783, Avg. Actor Loss: 1.593 Avg. Critic Loss: 0.236 Avg. Q-Values: -1.565, Time: 2.725, Training Steps: 339, Eps: 1.000
29-Jul-19 03:38:12 - LanderActor - INFO - Episode: 7, Total Reward: -489.164, Avg. Reward Last 100 Episodes: -225.916, Avg. Actor Loss: 1.647 Avg. Critic Loss: 0.138 Avg. Q-Values: -2.204, Time: 2.627, Training Steps: 347, Eps: 1.000
29-Jul-19 03:38:13 - LanderActor - INFO - Episode: 8, Total Reward: -322.214, Avg. Reward Last 100 Episodes: -258.822, Avg. Actor Loss: 1.773 Avg. Critic Loss: 0.118 Avg. Q-Values: -2.106, Time: 0.620, Training Steps: 87, Eps: 1.000
29-Jul-19 03:38:14 - LanderActor - INFO - Episode: 9, Total Reward: -80.852, Avg. Reward Last 100 Episodes: -265.866, Avg. Actor Loss: 2.088 Avg. Critic Loss: 0.123 Avg. Q-Values: -2.405, Time: 1.089, Training Steps: 142, Eps: 1.000
29-Jul-19 03:38:15 - LanderActor - INFO - Episode: 10, Total Reward: -535.091, Avg. Reward Last 100 Episodes: -247.364, Avg. Actor Loss: 2.300 Avg. Critic Loss: 0.118 Avg. Q-Values: -2.798, Time: 0.641, Training Steps: 86, Eps: 1.000
29-Jul-19 03:38:15 - LanderActor - INFO - Episode: 11, Total Reward: -202.665, Avg. Reward Last 100 Episodes: -273.521, Avg. Actor Loss: 3.260 Avg. Critic Loss: 0.122 Avg. Q-Values: -3.365, Time: 0.686, Training Steps: 87, Eps: 1.000
29-Jul-19 03:38:18 - LanderActor - INFO - Episode: 12, Total Reward: -629.124, Avg. Reward Last 100 Episodes: -267.617, Avg. Actor Loss: 2.377 Avg. Critic Loss: 0.089 Avg. Q-Values: -3.912, Time: 3.293, Training Steps: 404, Eps: 1.000
29-Jul-19 03:38:19 - LanderActor - INFO - Episode: 13, Total Reward: -385.894, Avg. Reward Last 100 Episodes: -295.425, Avg. Actor Loss: 4.228 Avg. Critic Loss: 0.098 Avg. Q-Values: -5.095, Time: 0.763, Training Steps: 101, Eps: 1.000
29-Jul-19 03:38:20 - LanderActor - INFO - Episode: 14, Total Reward: -307.307, Avg. Reward Last 100 Episodes: -301.887, Avg. Actor Loss: 5.205 Avg. Critic Loss: 0.119 Avg. Q-Values: -5.675, Time: 0.969, Training Steps: 133, Eps: 1.000
29-Jul-19 03:38:21 - LanderActor - INFO - Episode: 15, Total Reward: -647.166, Avg. Reward Last 100 Episodes: -302.248, Avg. Actor Loss: 4.899 Avg. Critic Loss: 0.111 Avg. Q-Values: -6.253, Time: 0.566, Training Steps: 81, Eps: 1.000
