02-Aug-19 20:36:43 - CheetahAgent - INFO - Agent created with following parameters: {'target_score': None, 'soft_target_update_rate': 0.001, 'replay_memory_params': {'rewards_dtype': 'float32', 'state_dtype': 'float32', 'state_dim': (26,), 'action_dtype': 'float32', 'method': 'buffer', 'memory_size': 1000000, 'sample_size': 64, 'action_dim': (6,)}, 'output_directory': 'model/CheetahAgent/2019-08-02-20-36-41', 'critic_optimizer_params': {'learning_rate': 0.001}, 'state_dim': (26,), 'discount_factor': 0.99, 'ctx': 'gpu(0)', 'evaluation_samples': 100, 'critic_optimizer': 'adam', 'verbose': True, 'start_training': 1, 'actor_optimizer_params': {'learning_rate': 0.0001}, 'actor_optimizer': 'adam', 'training_episodes': 2500, 'agent_name': 'CheetahAgent', 'train_interval': 1, 'strategy_params': {'sigma': [0.2, 0.2, 0.2, 0.2, 0.2, 0.2], 'action_high': 1, 'min_epsilon': 0.05, 'action_dim': (6,), 'epsilon': 1, 'action_low': -1, 'epsilon_decay': 0.00067, 'epsilon_decay_method': 'linear', 'mu': [0, 0, 0, 0, 0, 0], 'epsilon_decay_start': 200, 'theta': [0.15, 0.15, 0.15, 0.15, 0.15, 0.15], 'method': 'ornstein_uhlenbeck'}, 'action_dim': (6,), 'snapshot_interval': 250, 'max_episode_step': 10000}
02-Aug-19 20:36:43 - CheetahAgent - INFO - --- Start DDPG training ---
02-Aug-19 20:36:43 - CheetahAgent - INFO - Episode: 0, Total Reward: 5.771, Avg. Reward Last 100 Episodes: 5.771, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.028, Training Steps: 0, Eps: 1.000
02-Aug-19 20:36:43 - CheetahAgent - INFO - Episode: 1, Total Reward: 9.061, Avg. Reward Last 100 Episodes: 5.771, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.015, Training Steps: 0, Eps: 1.000
02-Aug-19 20:36:43 - CheetahAgent - INFO - Episode: 2, Total Reward: 4.908, Avg. Reward Last 100 Episodes: 7.416, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.020, Training Steps: 0, Eps: 1.000
02-Aug-19 20:36:43 - CheetahAgent - INFO - Episode: 3, Total Reward: 8.944, Avg. Reward Last 100 Episodes: 6.580, Avg. Actor Loss: -0.004 Avg. Critic Loss: 0.123 Avg. Q-Values: 0.248, Time: 0.220, Training Steps: 20, Eps: 1.000
02-Aug-19 20:36:43 - CheetahAgent - INFO - Episode: 4, Total Reward: 6.322, Avg. Reward Last 100 Episodes: 7.171, Avg. Actor Loss: -0.006 Avg. Critic Loss: 0.076 Avg. Q-Values: 0.382, Time: 0.162, Training Steps: 16, Eps: 1.000
02-Aug-19 20:36:43 - CheetahAgent - INFO - Episode: 5, Total Reward: 0.025, Avg. Reward Last 100 Episodes: 7.001, Avg. Actor Loss: -0.006 Avg. Critic Loss: 0.068 Avg. Q-Values: 0.375, Time: 0.128, Training Steps: 14, Eps: 1.000
02-Aug-19 20:36:43 - CheetahAgent - INFO - Episode: 6, Total Reward: 4.644, Avg. Reward Last 100 Episodes: 5.839, Avg. Actor Loss: -0.006 Avg. Critic Loss: 0.069 Avg. Q-Values: 0.350, Time: 0.154, Training Steps: 17, Eps: 1.000
02-Aug-19 20:36:44 - CheetahAgent - INFO - Episode: 7, Total Reward: 17.452, Avg. Reward Last 100 Episodes: 5.668, Avg. Actor Loss: -0.007 Avg. Critic Loss: 0.058 Avg. Q-Values: 0.355, Time: 0.245, Training Steps: 27, Eps: 1.000
02-Aug-19 20:36:44 - CheetahAgent - INFO - Episode: 8, Total Reward: 11.953, Avg. Reward Last 100 Episodes: 7.141, Avg. Actor Loss: -0.008 Avg. Critic Loss: 0.073 Avg. Q-Values: 0.401, Time: 0.165, Training Steps: 17, Eps: 1.000
02-Aug-19 20:36:44 - CheetahAgent - INFO - Episode: 9, Total Reward: -6.798, Avg. Reward Last 100 Episodes: 7.676, Avg. Actor Loss: -0.007 Avg. Critic Loss: 0.054 Avg. Q-Values: 0.363, Time: 0.199, Training Steps: 23, Eps: 1.000
02-Aug-19 20:36:44 - CheetahAgent - INFO - Episode: 10, Total Reward: 4.465, Avg. Reward Last 100 Episodes: 6.228, Avg. Actor Loss: -0.007 Avg. Critic Loss: 0.040 Avg. Q-Values: 0.342, Time: 0.169, Training Steps: 19, Eps: 1.000
02-Aug-19 20:36:45 - CheetahAgent - INFO - Episode: 11, Total Reward: 10.257, Avg. Reward Last 100 Episodes: 6.068, Avg. Actor Loss: -0.007 Avg. Critic Loss: 0.036 Avg. Q-Values: 0.340, Time: 0.266, Training Steps: 31, Eps: 1.000
02-Aug-19 20:36:45 - CheetahAgent - INFO - Episode: 12, Total Reward: 11.656, Avg. Reward Last 100 Episodes: 6.417, Avg. Actor Loss: -0.008 Avg. Critic Loss: 0.024 Avg. Q-Values: 0.346, Time: 0.213, Training Steps: 23, Eps: 1.000
02-Aug-19 20:36:45 - CheetahAgent - INFO - Episode: 13, Total Reward: -6.344, Avg. Reward Last 100 Episodes: 6.820, Avg. Actor Loss: -0.009 Avg. Critic Loss: 0.026 Avg. Q-Values: 0.373, Time: 0.243, Training Steps: 26, Eps: 1.000
02-Aug-19 20:36:45 - CheetahAgent - INFO - Episode: 14, Total Reward: -0.289, Avg. Reward Last 100 Episodes: 5.880, Avg. Actor Loss: -0.009 Avg. Critic Loss: 0.023 Avg. Q-Values: 0.300, Time: 0.144, Training Steps: 16, Eps: 1.000
02-Aug-19 20:36:45 - CheetahAgent - INFO - Episode: 15, Total Reward: 6.723, Avg. Reward Last 100 Episodes: 5.468, Avg. Actor Loss: -0.010 Avg. Critic Loss: 0.023 Avg. Q-Values: 0.342, Time: 0.162, Training Steps: 18, Eps: 1.000
02-Aug-19 20:36:45 - CheetahAgent - INFO - Episode: 16, Total Reward: 11.417, Avg. Reward Last 100 Episodes: 5.547, Avg. Actor Loss: -0.010 Avg. Critic Loss: 0.023 Avg. Q-Values: 0.309, Time: 0.194, Training Steps: 21, Eps: 1.000
02-Aug-19 20:36:46 - CheetahAgent - INFO - Episode: 17, Total Reward: 3.637, Avg. Reward Last 100 Episodes: 5.892, Avg. Actor Loss: -0.010 Avg. Critic Loss: 0.024 Avg. Q-Values: 0.297, Time: 0.145, Training Steps: 16, Eps: 1.000
02-Aug-19 20:36:46 - CheetahAgent - INFO - Episode: 18, Total Reward: 6.256, Avg. Reward Last 100 Episodes: 5.767, Avg. Actor Loss: -0.009 Avg. Critic Loss: 0.017 Avg. Q-Values: 0.304, Time: 0.289, Training Steps: 31, Eps: 1.000
02-Aug-19 20:36:46 - CheetahAgent - INFO - Episode: 19, Total Reward: -4.484, Avg. Reward Last 100 Episodes: 5.793, Avg. Actor Loss: -0.010 Avg. Critic Loss: 0.019 Avg. Q-Values: 0.310, Time: 0.284, Training Steps: 30, Eps: 1.000
02-Aug-19 20:36:46 - CheetahAgent - INFO - Episode: 20, Total Reward: -0.045, Avg. Reward Last 100 Episodes: 5.279, Avg. Actor Loss: -0.010 Avg. Critic Loss: 0.016 Avg. Q-Values: 0.318, Time: 0.225, Training Steps: 25, Eps: 1.000
02-Aug-19 20:36:47 - CheetahAgent - INFO - Episode: 21, Total Reward: 5.933, Avg. Reward Last 100 Episodes: 5.025, Avg. Actor Loss: -0.010 Avg. Critic Loss: 0.016 Avg. Q-Values: 0.265, Time: 0.162, Training Steps: 17, Eps: 1.000
02-Aug-19 20:36:47 - CheetahAgent - INFO - Episode: 22, Total Reward: 3.014, Avg. Reward Last 100 Episodes: 5.067, Avg. Actor Loss: -0.010 Avg. Critic Loss: 0.037 Avg. Q-Values: 0.253, Time: 0.148, Training Steps: 15, Eps: 1.000
02-Aug-19 20:36:47 - CheetahAgent - INFO - Episode: 23, Total Reward: -1.166, Avg. Reward Last 100 Episodes: 4.977, Avg. Actor Loss: -0.011 Avg. Critic Loss: 0.028 Avg. Q-Values: 0.303, Time: 0.260, Training Steps: 27, Eps: 1.000
02-Aug-19 20:36:47 - CheetahAgent - INFO - Episode: 24, Total Reward: 2.380, Avg. Reward Last 100 Episodes: 4.721, Avg. Actor Loss: -0.010 Avg. Critic Loss: 0.022 Avg. Q-Values: 0.287, Time: 0.134, Training Steps: 13, Eps: 1.000
02-Aug-19 20:36:47 - CheetahAgent - INFO - Episode: 25, Total Reward: 4.833, Avg. Reward Last 100 Episodes: 4.628, Avg. Actor Loss: -0.011 Avg. Critic Loss: 0.028 Avg. Q-Values: 0.274, Time: 0.377, Training Steps: 42, Eps: 1.000
02-Aug-19 20:36:48 - CheetahAgent - INFO - Episode: 26, Total Reward: 13.921, Avg. Reward Last 100 Episodes: 4.636, Avg. Actor Loss: -0.011 Avg. Critic Loss: 0.022 Avg. Q-Values: 0.294, Time: 0.209, Training Steps: 21, Eps: 1.000
02-Aug-19 20:36:48 - CheetahAgent - INFO - Episode: 27, Total Reward: -6.340, Avg. Reward Last 100 Episodes: 4.980, Avg. Actor Loss: -0.011 Avg. Critic Loss: 0.021 Avg. Q-Values: 0.277, Time: 0.287, Training Steps: 30, Eps: 1.000
