02-Aug-19 13:32:43 - CheetahAgent - INFO - Agent created with following parameters: {'actor_optimizer': 'adam', 'start_training': 1, 'strategy_params': {'epsilon_decay_start': 1000, 'action_low': -1, 'epsilon_decay_method': 'linear', 'min_epsilon': 0.05, 'noise_variance': 0.1, 'method': 'gaussian', 'action_high': 1, 'epsilon': 1, 'epsilon_decay': 0.005, 'action_dim': (6,)}, 'action_dim': (6,), 'target_score': None, 'train_interval': 1, 'critic_optimizer_params': {'learning_rate': 0.001}, 'snapshot_interval': 250, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (26,), 'sample_size': 100, 'method': 'buffer', 'action_dtype': 'float32', 'memory_size': 1000000, 'rewards_dtype': 'float32', 'action_dim': (6,)}, 'max_episode_step': 10000, 'discount_factor': 0.99, 'soft_target_update_rate': 0.005, 'training_episodes': 2500, 'output_directory': 'model/CheetahAgent/2019-08-02-13-32-39', 'ctx': 'gpu(0)', 'state_dim': (26,), 'actor_optimizer_params': {'learning_rate': 0.001}, 'verbose': True, 'agent_name': 'CheetahAgent', 'critic_optimizer': 'adam', 'evaluation_samples': 100}
02-Aug-19 13:32:43 - CheetahAgent - INFO - --- Start TwinDelayedDDPG training ---
02-Aug-19 13:32:43 - CheetahAgent - INFO - Episode: 0, Total Reward: 11.673, Avg. Reward Last 100 Episodes: 11.673, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.074, Training Steps: 0, Eps: 1.000
02-Aug-19 13:32:43 - CheetahAgent - INFO - Episode: 1, Total Reward: 7.988, Avg. Reward Last 100 Episodes: 11.673, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.022, Training Steps: 0, Eps: 1.000
02-Aug-19 13:32:43 - CheetahAgent - INFO - Episode: 2, Total Reward: 8.947, Avg. Reward Last 100 Episodes: 9.831, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.017, Training Steps: 0, Eps: 1.000
02-Aug-19 13:32:43 - CheetahAgent - INFO - Episode: 3, Total Reward: 10.348, Avg. Reward Last 100 Episodes: 9.536, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.016, Training Steps: 0, Eps: 1.000
02-Aug-19 13:32:43 - CheetahAgent - INFO - Episode: 4, Total Reward: 9.094, Avg. Reward Last 100 Episodes: 9.739, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.019, Training Steps: 0, Eps: 1.000
02-Aug-19 13:32:43 - CheetahAgent - INFO - Episode: 5, Total Reward: 8.271, Avg. Reward Last 100 Episodes: 9.610, Avg. Actor Loss: -0.186 Avg. Critic Loss: 0.002 Avg. Q-Values: 0.000, Time: 0.130, Training Steps: 12, Eps: 1.000
02-Aug-19 13:32:43 - CheetahAgent - INFO - Episode: 6, Total Reward: 10.391, Avg. Reward Last 100 Episodes: 9.387, Avg. Actor Loss: -0.559 Avg. Critic Loss: 0.001 Avg. Q-Values: 0.004, Time: 0.210, Training Steps: 26, Eps: 1.000
02-Aug-19 13:32:43 - CheetahAgent - INFO - Episode: 7, Total Reward: 2.888, Avg. Reward Last 100 Episodes: 9.530, Avg. Actor Loss: -0.649 Avg. Critic Loss: 0.001 Avg. Q-Values: 0.010, Time: 0.109, Training Steps: 14, Eps: 1.000
02-Aug-19 13:32:44 - CheetahAgent - INFO - Episode: 8, Total Reward: -0.820, Avg. Reward Last 100 Episodes: 8.700, Avg. Actor Loss: -0.392 Avg. Critic Loss: 0.001 Avg. Q-Values: 0.014, Time: 0.099, Training Steps: 13, Eps: 1.000
02-Aug-19 13:32:44 - CheetahAgent - INFO - Episode: 9, Total Reward: 1.326, Avg. Reward Last 100 Episodes: 7.642, Avg. Actor Loss: -0.151 Avg. Critic Loss: 0.001 Avg. Q-Values: 0.019, Time: 0.104, Training Steps: 13, Eps: 1.000
02-Aug-19 13:32:44 - CheetahAgent - INFO - Episode: 10, Total Reward: -5.590, Avg. Reward Last 100 Episodes: 7.011, Avg. Actor Loss: -0.474 Avg. Critic Loss: 0.001 Avg. Q-Values: 0.026, Time: 0.201, Training Steps: 27, Eps: 1.000
02-Aug-19 13:32:44 - CheetahAgent - INFO - Episode: 11, Total Reward: 1.327, Avg. Reward Last 100 Episodes: 5.865, Avg. Actor Loss: -0.477 Avg. Critic Loss: 0.001 Avg. Q-Values: 0.038, Time: 0.263, Training Steps: 33, Eps: 1.000
02-Aug-19 13:32:44 - CheetahAgent - INFO - Episode: 12, Total Reward: -16.210, Avg. Reward Last 100 Episodes: 5.487, Avg. Actor Loss: -0.263 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.055, Time: 0.330, Training Steps: 45, Eps: 1.000
02-Aug-19 13:32:45 - CheetahAgent - INFO - Episode: 13, Total Reward: 1.779, Avg. Reward Last 100 Episodes: 3.818, Avg. Actor Loss: -0.521 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.071, Time: 0.125, Training Steps: 15, Eps: 1.000
02-Aug-19 13:32:45 - CheetahAgent - INFO - Episode: 14, Total Reward: -4.059, Avg. Reward Last 100 Episodes: 3.672, Avg. Actor Loss: -0.538 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.082, Time: 0.149, Training Steps: 19, Eps: 1.000
02-Aug-19 13:32:45 - CheetahAgent - INFO - Episode: 15, Total Reward: -8.173, Avg. Reward Last 100 Episodes: 3.157, Avg. Actor Loss: -0.609 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.094, Time: 0.144, Training Steps: 19, Eps: 1.000
02-Aug-19 13:32:45 - CheetahAgent - INFO - Episode: 16, Total Reward: -15.323, Avg. Reward Last 100 Episodes: 2.449, Avg. Actor Loss: -0.515 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.099, Time: 0.109, Training Steps: 14, Eps: 1.000
02-Aug-19 13:32:45 - CheetahAgent - INFO - Episode: 17, Total Reward: -19.187, Avg. Reward Last 100 Episodes: 1.403, Avg. Actor Loss: -0.108 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.104, Time: 0.142, Training Steps: 19, Eps: 1.000
02-Aug-19 13:32:45 - CheetahAgent - INFO - Episode: 18, Total Reward: -7.539, Avg. Reward Last 100 Episodes: 0.259, Avg. Actor Loss: -0.249 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.108, Time: 0.190, Training Steps: 26, Eps: 1.000
