21-Jul-19 03:08:31 - torcs_agent_torcsAgent_actor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.001, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'output_directory': 'model/torcs_agent_torcsAgent_actor/2019-07-21-03-08-27', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 32, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'torcs_agent_torcsAgent_actor', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
21-Jul-19 03:08:31 - torcs_agent_torcsAgent_actor - INFO - --- Start DDPG training ---
21-Jul-19 03:08:36 - torcs_agent_torcsAgent_actor - INFO - Episode: 0, Total Reward: -43.994, Avg. Reward Last 100 Episodes: -43.994, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 5.660, Training Steps: 0, Eps: 1.000
21-Jul-19 03:08:46 - torcs_agent_torcsAgent_actor - INFO - Episode: 1, Total Reward: 622.573, Avg. Reward Last 100 Episodes: -43.994, Avg. Actor Loss: -0.236 Avg. Critic Loss: 484.302 Avg. Q-Values: 7.322, Time: 9.762, Training Steps: 36, Eps: 1.000
21-Jul-19 03:08:54 - torcs_agent_torcsAgent_actor - INFO - Episode: 2, Total Reward: 499.937, Avg. Reward Last 100 Episodes: 289.290, Avg. Actor Loss: -0.390 Avg. Critic Loss: 205.134 Avg. Q-Values: 12.156, Time: 7.351, Training Steps: 30, Eps: 1.000
21-Jul-19 03:09:00 - torcs_agent_torcsAgent_actor - INFO - Episode: 3, Total Reward: 122.416, Avg. Reward Last 100 Episodes: 359.505, Avg. Actor Loss: -0.326 Avg. Critic Loss: 359.882 Avg. Q-Values: 10.139, Time: 6.783, Training Steps: 22, Eps: 1.000
21-Jul-19 03:09:06 - torcs_agent_torcsAgent_actor - INFO - Episode: 4, Total Reward: -133.586, Avg. Reward Last 100 Episodes: 300.233, Avg. Actor Loss: -0.374 Avg. Critic Loss: 590.682 Avg. Q-Values: 11.510, Time: 5.533, Training Steps: 21, Eps: 1.000
21-Jul-19 03:09:12 - torcs_agent_torcsAgent_actor - INFO - Episode: 5, Total Reward: 37.075, Avg. Reward Last 100 Episodes: 213.469, Avg. Actor Loss: -0.344 Avg. Critic Loss: 386.239 Avg. Q-Values: 10.477, Time: 6.550, Training Steps: 26, Eps: 1.000
21-Jul-19 03:09:20 - torcs_agent_torcsAgent_actor - INFO - Episode: 6, Total Reward: 233.176, Avg. Reward Last 100 Episodes: 184.070, Avg. Actor Loss: -0.287 Avg. Critic Loss: 324.126 Avg. Q-Values: 8.102, Time: 7.183, Training Steps: 24, Eps: 1.000
21-Jul-19 03:09:27 - torcs_agent_torcsAgent_actor - INFO - Episode: 7, Total Reward: 620.058, Avg. Reward Last 100 Episodes: 191.085, Avg. Actor Loss: -0.386 Avg. Critic Loss: 343.666 Avg. Q-Values: 7.342, Time: 7.552, Training Steps: 31, Eps: 1.000
21-Jul-19 03:09:35 - torcs_agent_torcsAgent_actor - INFO - Episode: 8, Total Reward: 644.190, Avg. Reward Last 100 Episodes: 244.707, Avg. Actor Loss: -0.531 Avg. Critic Loss: 251.897 Avg. Q-Values: 9.614, Time: 7.773, Training Steps: 32, Eps: 1.000
21-Jul-19 03:09:44 - torcs_agent_torcsAgent_actor - INFO - Episode: 9, Total Reward: 547.056, Avg. Reward Last 100 Episodes: 289.094, Avg. Actor Loss: -0.510 Avg. Critic Loss: 170.492 Avg. Q-Values: 12.254, Time: 9.209, Training Steps: 34, Eps: 1.000
21-Jul-19 03:09:50 - torcs_agent_torcsAgent_actor - INFO - Episode: 10, Total Reward: -99.913, Avg. Reward Last 100 Episodes: 314.890, Avg. Actor Loss: -0.352 Avg. Critic Loss: 328.776 Avg. Q-Values: 11.614, Time: 5.534, Training Steps: 21, Eps: 1.000
21-Jul-19 03:09:56 - torcs_agent_torcsAgent_actor - INFO - Episode: 11, Total Reward: 330.626, Avg. Reward Last 100 Episodes: 277.181, Avg. Actor Loss: -0.342 Avg. Critic Loss: 159.873 Avg. Q-Values: 11.780, Time: 6.133, Training Steps: 24, Eps: 1.000
21-Jul-19 03:10:04 - torcs_agent_torcsAgent_actor - INFO - Episode: 12, Total Reward: 336.714, Avg. Reward Last 100 Episodes: 281.634, Avg. Actor Loss: -0.242 Avg. Critic Loss: 192.764 Avg. Q-Values: 11.428, Time: 8.200, Training Steps: 29, Eps: 0.999
