04-Aug-19 02:55:36 - TorcsAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.005, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/TorcsAgent/2019-08-04-02-55-32', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'TorcsAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
04-Aug-19 02:55:36 - TorcsAgent - INFO - --- Start TwinDelayedDDPG training ---
04-Aug-19 02:55:42 - TorcsAgent - INFO - Episode: 0, Total Reward: 273.729, Avg. Reward Last 100 Episodes: 273.729, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 6.270, Training Steps: 0, Eps: 1.000
04-Aug-19 02:55:49 - TorcsAgent - INFO - Episode: 1, Total Reward: 195.153, Avg. Reward Last 100 Episodes: 273.729, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 6.717, Training Steps: 0, Eps: 1.000
04-Aug-19 02:55:55 - TorcsAgent - INFO - Episode: 2, Total Reward: 260.594, Avg. Reward Last 100 Episodes: 234.441, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 6.516, Training Steps: 0, Eps: 1.000
04-Aug-19 02:56:03 - TorcsAgent - INFO - Episode: 3, Total Reward: 192.667, Avg. Reward Last 100 Episodes: 243.158, Avg. Actor Loss: -0.161 Avg. Critic Loss: 7.181 Avg. Q-Values: -0.000, Time: 7.596, Training Steps: 8, Eps: 1.000
04-Aug-19 02:56:09 - TorcsAgent - INFO - Episode: 4, Total Reward: 151.492, Avg. Reward Last 100 Episodes: 230.536, Avg. Actor Loss: -6.653 Avg. Critic Loss: 7.292 Avg. Q-Values: 0.006, Time: 6.309, Training Steps: 25, Eps: 1.000
04-Aug-19 02:56:18 - TorcsAgent - INFO - Episode: 5, Total Reward: 630.901, Avg. Reward Last 100 Episodes: 214.727, Avg. Actor Loss: -13.401 Avg. Critic Loss: 6.978 Avg. Q-Values: 0.043, Time: 8.358, Training Steps: 35, Eps: 1.000
04-Aug-19 02:56:25 - TorcsAgent - INFO - Episode: 6, Total Reward: 123.455, Avg. Reward Last 100 Episodes: 284.089, Avg. Actor Loss: -18.741 Avg. Critic Loss: 5.360 Avg. Q-Values: 0.128, Time: 7.791, Training Steps: 27, Eps: 1.000
04-Aug-19 02:56:34 - TorcsAgent - INFO - Episode: 7, Total Reward: 262.382, Avg. Reward Last 100 Episodes: 261.142, Avg. Actor Loss: -21.563 Avg. Critic Loss: 6.154 Avg. Q-Values: 0.275, Time: 8.759, Training Steps: 37, Eps: 1.000
04-Aug-19 02:56:42 - TorcsAgent - INFO - Episode: 8, Total Reward: 522.093, Avg. Reward Last 100 Episodes: 261.297, Avg. Actor Loss: -20.440 Avg. Critic Loss: 6.392 Avg. Q-Values: 0.521, Time: 7.730, Training Steps: 32, Eps: 1.000
04-Aug-19 02:56:53 - TorcsAgent - INFO - Episode: 9, Total Reward: 582.100, Avg. Reward Last 100 Episodes: 290.274, Avg. Actor Loss: -24.672 Avg. Critic Loss: 5.425 Avg. Q-Values: 0.971, Time: 11.011, Training Steps: 43, Eps: 1.000
04-Aug-19 02:57:02 - TorcsAgent - INFO - Episode: 10, Total Reward: 682.832, Avg. Reward Last 100 Episodes: 319.457, Avg. Actor Loss: -23.746 Avg. Critic Loss: 4.927 Avg. Q-Values: 1.669, Time: 8.757, Training Steps: 37, Eps: 1.000
