02-Aug-19 22:32:28 - LanderQAgent - INFO - --- Start training ---
02-Aug-19 22:32:28 - LanderQAgent - INFO - Target network is updated after 0 steps
02-Aug-19 22:32:28 - LanderQAgent - INFO - Episode: 0, Total Reward: -242.299, Avg. Reward Last 100 Episodes: -242.299, Avg. Loss: 0.000, Time: 0.045, Training Steps: 0, Eps: 1.000
02-Aug-19 22:32:28 - LanderQAgent - INFO - Episode: 1, Total Reward: -2.434, Avg. Reward Last 100 Episodes: -242.299, Avg. Loss: 0.429, Time: 0.862, Training Steps: 73, Eps: 1.000
02-Aug-19 22:32:29 - LanderQAgent - INFO - Episode: 2, Total Reward: -333.767, Avg. Reward Last 100 Episodes: -122.366, Avg. Loss: 0.566, Time: 0.945, Training Steps: 81, Eps: 1.000
02-Aug-19 22:32:30 - LanderQAgent - INFO - Episode: 3, Total Reward: -106.360, Avg. Reward Last 100 Episodes: -192.833, Avg. Loss: 0.585, Time: 0.713, Training Steps: 61, Eps: 1.000
02-Aug-19 22:32:31 - LanderQAgent - INFO - Episode: 4, Total Reward: -96.180, Avg. Reward Last 100 Episodes: -171.215, Avg. Loss: 0.588, Time: 0.761, Training Steps: 66, Eps: 1.000
02-Aug-19 22:32:32 - LanderQAgent - INFO - Episode: 5, Total Reward: -356.937, Avg. Reward Last 100 Episodes: -156.208, Avg. Loss: 0.553, Time: 1.141, Training Steps: 98, Eps: 1.000
02-Aug-19 22:32:33 - LanderQAgent - INFO - Episode: 6, Total Reward: -202.184, Avg. Reward Last 100 Episodes: -189.663, Avg. Loss: 0.570, Time: 1.186, Training Steps: 102, Eps: 1.000
02-Aug-19 22:32:34 - LanderQAgent - INFO - Episode: 7, Total Reward: -81.659, Avg. Reward Last 100 Episodes: -191.452, Avg. Loss: 0.561, Time: 0.781, Training Steps: 67, Eps: 1.000
02-Aug-19 22:32:35 - LanderQAgent - INFO - Episode: 8, Total Reward: -105.867, Avg. Reward Last 100 Episodes: -177.728, Avg. Loss: 0.535, Time: 0.762, Training Steps: 65, Eps: 1.000
02-Aug-19 22:32:36 - LanderQAgent - INFO - Episode: 9, Total Reward: -131.445, Avg. Reward Last 100 Episodes: -169.743, Avg. Loss: 0.485, Time: 1.164, Training Steps: 93, Eps: 1.000
02-Aug-19 22:32:37 - LanderQAgent - INFO - Episode: 10, Total Reward: -227.465, Avg. Reward Last 100 Episodes: -165.913, Avg. Loss: 0.502, Time: 1.013, Training Steps: 85, Eps: 1.000
02-Aug-19 22:32:38 - LanderQAgent - INFO - Episode: 11, Total Reward: -160.756, Avg. Reward Last 100 Episodes: -171.509, Avg. Loss: 0.498, Time: 0.788, Training Steps: 67, Eps: 1.000
02-Aug-19 22:32:38 - LanderQAgent - INFO - Target network is updated after 1000 steps
02-Aug-19 22:32:39 - LanderQAgent - INFO - Episode: 12, Total Reward: -109.762, Avg. Reward Last 100 Episodes: -170.613, Avg. Loss: 0.475, Time: 1.432, Training Steps: 120, Eps: 1.000
02-Aug-19 22:32:40 - LanderQAgent - INFO - Episode: 13, Total Reward: -206.737, Avg. Reward Last 100 Episodes: -165.932, Avg. Loss: 0.477, Time: 0.820, Training Steps: 70, Eps: 1.000
02-Aug-19 22:32:41 - LanderQAgent - INFO - Episode: 14, Total Reward: -128.567, Avg. Reward Last 100 Episodes: -168.847, Avg. Loss: 0.482, Time: 1.087, Training Steps: 92, Eps: 1.000
02-Aug-19 22:32:42 - LanderQAgent - INFO - Episode: 15, Total Reward: -91.372, Avg. Reward Last 100 Episodes: -166.161, Avg. Loss: 0.489, Time: 0.905, Training Steps: 74, Eps: 1.000
02-Aug-19 22:32:43 - LanderQAgent - INFO - Episode: 16, Total Reward: -357.894, Avg. Reward Last 100 Episodes: -161.487, Avg. Loss: 0.409, Time: 1.169, Training Steps: 97, Eps: 1.000
02-Aug-19 22:32:44 - LanderQAgent - INFO - Episode: 17, Total Reward: -194.573, Avg. Reward Last 100 Episodes: -173.040, Avg. Loss: 0.388, Time: 1.028, Training Steps: 89, Eps: 1.000
02-Aug-19 22:32:46 - LanderQAgent - INFO - Episode: 18, Total Reward: -286.657, Avg. Reward Last 100 Episodes: -174.237, Avg. Loss: 0.428, Time: 1.374, Training Steps: 120, Eps: 1.000
02-Aug-19 22:32:47 - LanderQAgent - INFO - Episode: 19, Total Reward: -72.122, Avg. Reward Last 100 Episodes: -180.153, Avg. Loss: 0.466, Time: 1.191, Training Steps: 104, Eps: 1.000
02-Aug-19 22:32:48 - LanderQAgent - INFO - Episode: 20, Total Reward: -200.012, Avg. Reward Last 100 Episodes: -174.752, Avg. Loss: 0.417, Time: 0.838, Training Steps: 73, Eps: 1.000
02-Aug-19 22:32:48 - LanderQAgent - INFO - Episode: 21, Total Reward: -133.713, Avg. Reward Last 100 Episodes: -175.955, Avg. Loss: 0.484, Time: 0.819, Training Steps: 72, Eps: 1.000
02-Aug-19 22:32:50 - LanderQAgent - INFO - Episode: 22, Total Reward: -274.604, Avg. Reward Last 100 Episodes: -174.035, Avg. Loss: 0.421, Time: 1.285, Training Steps: 109, Eps: 1.000
02-Aug-19 22:32:50 - LanderQAgent - INFO - Target network is updated after 2000 steps
02-Aug-19 22:32:50 - LanderQAgent - INFO - Episode: 23, Total Reward: -112.901, Avg. Reward Last 100 Episodes: -178.407, Avg. Loss: 0.442, Time: 0.785, Training Steps: 63, Eps: 1.000
02-Aug-19 22:32:52 - LanderQAgent - INFO - Episode: 24, Total Reward: -406.678, Avg. Reward Last 100 Episodes: -175.678, Avg. Loss: 0.413, Time: 1.264, Training Steps: 107, Eps: 1.000
02-Aug-19 22:32:53 - LanderQAgent - INFO - Episode: 25, Total Reward: -128.193, Avg. Reward Last 100 Episodes: -184.918, Avg. Loss: 0.388, Time: 0.999, Training Steps: 85, Eps: 1.000
02-Aug-19 22:32:54 - LanderQAgent - INFO - Episode: 26, Total Reward: -122.400, Avg. Reward Last 100 Episodes: -182.736, Avg. Loss: 0.370, Time: 0.921, Training Steps: 79, Eps: 1.000
02-Aug-19 22:32:55 - LanderQAgent - INFO - Episode: 27, Total Reward: -222.310, Avg. Reward Last 100 Episodes: -180.501, Avg. Loss: 0.385, Time: 0.878, Training Steps: 76, Eps: 1.000
02-Aug-19 22:32:56 - LanderQAgent - INFO - Episode: 28, Total Reward: -386.027, Avg. Reward Last 100 Episodes: -181.995, Avg. Loss: 0.367, Time: 1.419, Training Steps: 122, Eps: 1.000
